Mandarin,Predicted Tone Cantonese
1,"{'3', '1'}"
2,"{'3', '4', '6', '1'}"
3,"{'3', '2', '5', '1'}"
4,"{'6', '2', '3', '1'}"
∅,"{'3', '1'}"
