Mandarin,Predicted Initial Cantonese
zh,{'z'}
ch,"{'s', 'c'}"
sh,{'s'}
b,{'b'}
p,"{'p', 'b'}"
m,{'m'}
f,{'f'}
d,{'d'}
t,{'t'}
n,"{'n', 'j'}"
l,{'l'}
g,"{'k', 'g'}"
k,"{'k', 'h', 'f'}"
h,"{'h', 'w', 'f'}"
j,"{'z', 'k', 'g'}"
q,"{'k', 'h', 'c'}"
x,"{'s', 'j', 'h', 'f'}"
r,"{'j', 'w'}"
z,{'z'}
c,{'c'}
s,{'s'}
∅,"{'j', 'm', 'w', '∅', 'n'}"
