Middle Chinese,Predicted Initial Cantonese
zh,"{'z', 'n', 'c', 'd'}"
ch,"{'s', 'c'}"
sh,"{'s', 'z'}"
b,{'b'}
p,"{'p', 'b', 'm'}"
m,{'m'}
f,"{'n', 'f'}"
d,"{'s', 'd'}"
t,"{'t', 'd'}"
n,"{'n', 'l'}"
l,"{'g', 'l'}"
g,{'g'}
k,"{'k', 'h', 'f', 'w', '∅'}"
h,"{'s', 'h', 'w', 'f'}"
j,"{'s', 'g', 'c', 'z'}"
q,"{'k', 'h', 'f', 's', 'j', 'c'}"
x,"{'h', 'g', 'f', 's', 'z', 'p', 'j', 'c'}"
r,"{'n', 'w', 'j'}"
z,{'z'}
c,{'c'}
s,"{'s', 'z'}"
∅,"{'j', 'm', 'w', '∅', 'n'}"
