Cantonese,Predicted Initial Mandarin
b,"{'p', 'b'}"
p,"{'p', 'b'}"
m,"{'m', '∅'}"
f,"{'p', 'k', 'h', 'f'}"
d,"{'t', 'd'}"
t,"{'t', 'd'}"
n,{'n'}
l,{'l'}
g,"{'j', 'g'}"
k,"{'k', 'h', 'q', 'j'}"
ng,"{'n', '∅'}"
h,"{'k', 'h', 'x', 'q', 'j'}"
gw,"{'j', 'h', 'g'}"
kw,"{'x', 'k'}"
w,"{'h', '∅'}"
z,"{'s', 'r', 'zh', 'z', '∅', 'j'}"
c,"{'ch', 's', 'x', 'zh', 'z', 'q', 'j', 'c'}"
s,"{'s', 'x', 'sh', 'ch'}"
j,"{'r', '∅'}"
∅,{'∅'}
