Middle Chinese,Predicted Tone Cantonese
1,"{'6', '4', '2', '1', '3'}"
2,"{'6', '4', '1', '3', '5'}"
3,"{'6', '2', '1', '3', '5'}"
4,"{'6', '2', '1', '3', '5'}"
∅,{'4'}
