Character,Middle Chinese,Cantonese,Mandarin
屑,set4,sit3,xie4
屒,dzyin1,zan2,zhen3
屔,nej1,nai4,ni2
展,trjen2,zin2,zhan3
屝,bjwɨj3,fei2,fei4
屠,du1,tou4,tu2
屠,drjo1,ceoi4,chu2
屢,lju3,leoi5,lü3
屣,srje2,saai2,xi3
履,lij2,lei5,lü3
屧,sep4,sit3,xie4
屨,kju3,geoi3,ju4
屩,kjak4,goek3,jue1
屬,dzyowk4,suk6,shu3
屬,tsyowk4,zuk1,zhu3
屮,trhjet4,cit3,che4
屯,trwin1,tyun4,tun2
屰,ngjæk4,jik6,ni4
山,srɛn1,saan1,shan1
屴,lik4,lak6,li4
屵,ngjon2,ngaat6,e4
屸,luwng1,lung4,long2
屹,ngjɨt4,ngat6,yi4
屺,khi2,hei2,qi3
屾,srin1,san1,shen1
岈,xæ1,haa1,ya2
岉,mjut4,mat6,wu4
岊,dzet4,zit3,jie2
岌,ngip4,kap1,ji2
岍,khen1,hin1,qian1
岏,ngwan1,jyun4,wan2
岐,gje1,kei4,qi2
岑,dzrim1,sam4,cen2
岓,gjɨj1,kei4,qi2
岔,tshræ3,caa3,cha4
岝,dzak4,zok6,zuo4
岟,ʔjang2,joeng2,yang3
岡,kang1,gong1,gang1
岢,kha2,ho2,ke3
岣,kju1,gau2,gou3
岦,lip4,laap6,li4
岧,dew1,tiu4,tiao2
岨,tshjo1,zeoi1,qu1
岩,ngæm1,ngaam4,yan2
岫,zjuw3,zau6,xiu4
岯,bij1,pei4,pi2
岱,doj3,doi6,dai4
岳,ngæwk4,ngok6,yue4
岵,hu2,wu6,hu4
岷,min1,man4,min2
岸,ngan3,ngon6,an4
岻,drij1,ci4,chi2
峉,ngæk4,ngaak6,e4
峋,swin1,seon1,xun2
峐,koj1,goi1,gai1
峒,duwng1,dung6,dong4
峓,yij1,ji4,yi2
峔,mu2,mou5,mu3
峗,ngjwe1,ngai4,wei2
峘,hwan1,wun4,huan2
峙,dri2,ci5,zhi4
峛,lje2,lei5,li3
峞,ngwoj1,ngai4,wei2
峬,pu1,bou1,bu1
峭,tshjew3,ciu3,qiao4
峮,khin1,kwan1,qun1
峰,phjowng1,fung1,feng1
峱,naw1,naau4,nao2
峴,hen2,jin6,xian4
島,taw2,dou2,dao3
峹,du1,tou4,tu2
峻,swin3,zeon3,jun4
峽,hɛp4,haap6,xia2
峿,ngu1,ng4,yu3
崀,lang2,long4,lang4
崆,khuwng1,hung1,kong1
崇,dzrjuwng1,sung4,chong2
崋,hwæ1,waa6,hua4
崌,kjo1,geoi1,ju1
崍,loj1,loi4,lai2
崎,khje1,kei4,qi2
崑,kwon1,kwan1,kun1
崒,dzwit4,zeot1,zu2
崔,tshwoj1,ceoi1,cui1
崖,ngje1,ngaai4,ya2
崙,lwon1,leon4,lun2
崚,ling1,ling4,ling2
崛,gjut4,gwat6,jue2
崝,dzrɛng1,zang1,zheng1
崞,kwak4,gwok3,guo1
崟,ngim1,jam4,yin2
崢,dzræng1,zaang1,zheng1
崤,hæw1,ngaau4,xiao2
崥,bej1,pei4,pi2
崦,ʔjem1,jim1,yan1
崧,sjuwng1,sung1,song1
崨,dzjep4,zip6,jie2
崩,pong1,bang1,beng1
崪,dzwot4,zyut6,zu2
崱,dzrik4,zak1,ze4
崴,ʔwɛj1,wai1,wei1
崵,yang1,joeng4,yang2
崶,pjowng1,fung1,feng1
崺,ye2,ji5,yi3
崽,srɛɨ1,zoi2,zai3
崿,ngak4,ngok6,e4
嵃,ngjen2,jin6,yan3
嵇,hej1,kai1,ji1
嵊,zying3,sing6,sheng4
嵋,mij1,mei4,mei2
嵌,khæm1,ham6,qian4
嵍,mju3,mou6,wu4
嵎,ngju1,jyu4,yu2
嵐,lom1,laam4,lan2
嵕,tsuwng1,zung1,zong1
嵞,du1,tou4,tu2
嵟,twoj1,deoi1,dui1
嵠,khej1,kai1,xi1
嵣,dang2,dong6,dang4
嵤,hwɛng1,wing4,rong2
嵥,gjet4,git6,jie2
嵦,ngoj1,hoi2,kai3
嵧,ljuw1,lau4,liu2
嵩,sjuwng1,sung1,song1
嵫,tsi1,zi1,zi1
嵬,ngwoj1,ngai4,wei2
嵯,tshrje1,co1,cuo2
嵱,yowng1,jung4,yong3
嵲,nget4,jit6,nie4
嵳,dza1,co1,cuo2
嵸,tsuwng1,zung1,zong1
嵼,srɛn2,caan2,chan3
嵽,det4,dit6,die2
嵾,tshrim1,cam1,cen1
嶀,thu1,tou1,tu1
嶁,lju2,lau5,lou1
嶂,tsyang3,zoeng3,zhang4
嶅,ngaw1,ngou4,ao2
嶇,khju1,keoi1,qu1
嶉,tswij1,ceoi1,cui1
嶊,tswoj2,zeoi2,zui3
嶑,zjang2,zoeng6,xiang4
嶒,dzing1,cang4,ceng2
嶓,pwa1,bo1,bo1
嶔,khim1,jam1,qin1
嶕,dzjew1,ziu1,jiao1
嶙,lin1,leon4,lin2
嶜,dzim1,zam1,jin1
嶝,tong3,dang3,deng4
嶞,dwa2,do6,duo4
嶠,gjew3,giu2,jiao4
嶢,ngew1,jiu4,yao2
嶧,yek4,jik6,yi4
嶨,khæwk4,hok6,xue2
嶪,ngjæp4,jip6,ye4
嶭,ngat4,jit6,nie4
嶮,xjem2,him2,xian3
嶲,sjwe2,sai1,xi1
嶷,ngi1,jik6,yi2
嶸,hjwæng1,wing4,rong2
嶺,ljieng2,leng5,ling3
嶼,zjo2,zeoi6,yu3
嶽,ngæwk4,ngok6,yue4
嶾,ʔjɨn2,jan2,yin3
巀,dzat4,zit6,jie2
巁,ljej3,lai6,li4
巃,luwng1,lung4,long2
巇,xje1,hei3,xi1
巈,kjuwk4,guk1,ju2
巉,dzræm1,caam4,chan2
巋,khwij1,kwai1,kui1
巍,ngjwɨj1,ngai4,wei1
巐,trhjew2,ciu2,chao3
巑,dzwan1,cyun4,cuan2
巒,lwan1,lyun4,luan2
巔,ten1,din1,dian1
巖,ngæm1,ngaam4,yan2
巘,ngjon2,jin5,yan3
川,tshywen1,cyun1,chuan1
州,tsyuw1,zau1,zhou1
巟,xwang1,fong1,huang1
巠,keng1,ging1,jing1
巡,zwin1,ceon4,xun2
巢,dzræw1,caau4,chao2
巤,ljep4,lip6,lie4
工,kuwng1,gung1,gong1
左,tsa2,zo2,zuo3
巧,khæw2,haau2,qiao3
巨,gjo2,geoi6,ju4
巫,mju1,mou4,wu1
差,tshrje1,caa1,cha1
差,tshræ1,caai1,chai1
差,tshrje1,ci1,ci1
差,tshrɛɨ3,caai3,chai4
己,ki2,gei2,ji3
已,yi2,ji5,yi3
巳,yi2,zi6,si4
巴,pæ1,baa1,ba1
巷,hæwng3,hong6,xiang4
巸,yi1,ji4,yi2
巹,kjɨn2,gan2,jin3
巽,swon3,seon3,xun4
巾,kin1,gan1,jin1
巿,pjut4,fat1,fu2
市,dzyi2,si5,shi4
布,pu3,bou3,bu4
帆,bjom1,faan4,fan1
帆,bjom3,faan6,fan4
希,xjɨj1,hei1,xi1
帑,thang2,tong2,tang3
帑,nu1,nou4,nu2
帓,mæt4,mat6,mo4
帔,phje1,pei3,pei4
帕,mæt4,paak3,pa4
帖,thep4,tip3,tie1
帘,dzrin1,lim4,lian2
帙,drit4,dit6,zhi4
帚,tsyuw2,zaau2,zhou3
帛,bæk4,baak6,bo2
帝,tej3,dai3,di4
帟,yek4,jik6,yi4
帢,khɛp4,hap1,qia4
帣,kjwen3,gyun3,juan4
帥,srwij3,seoi3,shuai4
帨,tshjwej3,seoi3,shui4
帩,tshjew3,ciu3,qiao4
師,srij1,si1,shi1
席,zjek4,zik6,xi2
帳,trjang3,zoeng3,zhang4
帴,dzan1,zin1,san4
帶,taj3,daai3,dai4
帷,hjwij1,wai4,wei2
常,dzyang1,soeng4,chang2
帺,gi3,kei4,qi2
帽,maw3,mou6,mao4
帾,tu2,dou2,du3
幃,hjwɨj1,wai4,wei2
幄,ʔæwk4,ak1,wo4
幅,pjuwk4,fuk1,fu2
幋,bwan1,pun4,pan2
幌,hwang2,fong2,huang3
幍,thaw1,tou1,tao1
幏,kæ1,gaa3,jia4
幐,dong1,tang4,teng2
幔,mwan3,maan6,man4
幕,mak4,mok6,mu4
幖,pjew1,biu1,biao1
幗,kwoj3,gwok3,guo2
幘,tsrɛk4,zik1,ze1
幝,tshyen2,cin2,chan3
幟,syi3,ci3,zhi4
幠,xu1,fu1,hu1
幡,phjwon1,faan1,fan1
幢,dræwng1,cong4,chuang2
幢,dræwng3,tong4,zhuang4
幣,bjej3,bai6,bi4
幧,tshjew1,ciu1,qiao1
幪,muwng1,mung4,meng2
幫,pang1,bong1,bang1
幬,drjuw1,cau4,chou2
幬,daw3,dou6,dao4
幮,drju1,cyu4,chu2
幰,xjon2,hin2,xian3
干,kan1,gon1,gan1
平,bjæng1,ping4,ping2
幵,ken1,gin1,jian1
并,pjieng1,bing1,bing1
幸,hɛng2,hang6,xing4
幹,kan3,gon3,gan4
幺,ʔew1,jiu1,yao1
幻,hwɛn3,waan6,huan4
幼,ʔjiw3,jau3,you4
幽,ʔjiw1,jau1,you1
幾,kjɨj2,gei2,ji3
幾,kjɨj1,gei1,ji1
幾,gjɨj1,gei1,ji1
广,ngjem2,jim2,yan3
庀,phje2,pei2,pi3
庇,pij3,bei3,bi4
庈,gim1,kam4,qin2
庉,dwon1,tyun4,dun4
床,dzrjang1,cong4,chuang2
庋,kjwe2,gei2,ji3
序,zjo2,zeoi6,xu4
庖,bæw1,paau4,pao2
店,tem3,dim3,dian4
庚,kæng1,gang1,geng1
庛,tshje3,ci3,ci4
府,pju2,fu2,fu3
庠,zjang1,coeng4,xiang2
庡,ʔjɨj2,ji2,yi3
庢,trit4,zat6,zhi4
庣,thew1,tiu1,tiao1
庤,dri2,zi6,zhi4
庥,xjuw1,jau1,xiu1
度,du3,dou6,du4
度,dak4,dok6,duo2
座,dzwa3,zo6,zuo4
庨,xæw1,haau1,xiao1
庩,thu1,tou4,tu2
庪,kjwe2,gei2,gui3
庫,khu3,fu3,ku4
庭,deng1,ting4,ting2
庯,pu1,bou1,bu1
庳,bje2,pei5,bi4
庴,tsjek4,zik6,ji2
庵,ʔom1,am1,an1
庶,syo3,syu3,shu4
康,khang1,hong1,kang1
庸,yowng1,jung4,yong1
庾,yu2,jyu5,yu3
廁,tshri3,ci3,ce4
廁,tshri3,ci3,ce4
廂,sjang1,soeng1,xiang1
廄,kjuw3,gau3,jiu4
廅,ʔap4,ap1,e4
廈,hæ2,haa6,sha4
廉,ljem1,lim4,lian2
廊,lang1,long4,lang2
廋,srjuw1,sau1,sou1
廌,drje2,zaai6,zhi4
廑,gin3,gan2,jin3
廓,khwak4,kwok3,kuo4
廔,luw1,lau4,lou2
廖,lew1,liu6,liao4
廘,luwk4,luk6,lu4
廙,yi3,ji6,yi4
廚,drju1,cyu4,chu2
廛,drjen1,cin4,chan2
廝,sje1,si1,si1
廞,xim1,jam1,xin1
廟,mjew3,miu6,miao4
廠,tshyang2,cong2,chang3
廡,mju2,mou5,wu3
廢,pjwoj3,fai3,fei4
廣,kwang2,gwong2,guang3
廩,lim2,lam5,lin3
廬,ljo1,lou4,lu2
廮,ʔjieng2,jing2,ying3
廱,ʔjowng1,jung1,yong1
廲,lej1,lai4,li2
廳,theng1,teng1,ting1
廴,yin2,jan2,yin3
延,yen1,jin4,yan2
廷,deng1,ting4,ting2
建,kjon3,gin3,jian4
廿,nyip4,jaa6,nian4
弁,bjen3,bin6,bian4
弄,luwng3,lung6,nong4
弄,luwng3,lung6,long4
弅,bjun2,fan5,fen4
弆,kjo2,geoi2,ju3
弇,kom1,jim2,yan3
弈,yek4,jik6,yi4
弊,bjej3,bai6,bi4
弋,yik4,jik6,yi4
式,syik4,sik1,shi4
弓,kjuwng1,gung1,gong1
弔,tek4,dik1,di4
引,yin2,jan5,yin3
弗,pjut4,fat1,fu2
弘,hwong1,wang4,hong2
弛,sye2,ci2,chi2
弜,gje1,koeng5,jiang4
弝,pæ3,baa3,ba4
弟,dej2,dai6,di4
弣,phju2,fu2,fu3
弤,tej2,dai2,di3
弦,hen1,jin4,xian2
弧,hu1,wu4,hu2
弨,tshyew1,ciu1,chao1
弩,nu2,nou5,nu3
弬,yi1,ji4,yi2
弭,mje2,mai5,mi3
弮,khjwen1,hyun1,quan1
弰,sræw1,saau1,shao1
弱,nyak4,joek6,ruo4
弴,twon1,diu1,diao1
張,trjang1,zoeng1,zhang1
張,trjang3,zoeng3,zhang4
弶,gjang3,koeng5,jiang4
強,gjang1,koeng4,qiang2
強,gjang2,koeng5,qiang3
強,gjang2,goeng6,jiang4
弸,phɛng1,pang4,peng2
弼,bit4,bat6,bi4
弽,syep4,sip3,she4
彀,kuw3,gau3,gou4
彄,khuw1,kau1,kou1
彆,pjej3,bit3,bie4
彇,sew1,siu1,xiao1
彈,dan1,daan6,tan2
彈,dan3,daan6,dan4
彊,gjang1,koeng4,qiang2
彋,hwæng1,wang4,hong2
彌,mje1,mei4,mi2
彎,ʔwæn1,waan1,wan1
彐,kjej3,gai3,ji4
彔,luwk4,luk6,lu4
彖,thwan3,teon3,tuan4
彗,zwij3,wai6,hui4
彗,hjwej3,wai6,wei4
彘,drjej3,zi6,zhi4
彙,hjwɨj3,wui6,hui4
彠,ʔjwak4,wok6,yue1
形,heng1,jing4,xing2
彣,mjun1,man4,wen2
彤,downg1,tung4,tong2
彥,ngjen3,jin6,yan4
彧,ʔjuwk4,juk1,yu4
彩,tshoj2,coi2,cai3
彪,pjiw1,biu1,biao1
彬,pin1,ban1,bin1
彭,bæng1,paang4,peng2
彯,phjew1,piu1,piao3
彰,tsyang1,zoeng1,zhang1
影,ʔjæng2,jing2,ying3
彳,trhjek4,cik1,chi4
彴,tsyak4,zoek3,zhuo2
彷,bang1,pong4,pang2
彷,phjwang2,fong2,fang3
役,ywek4,jik6,yi4
彺,hjwang1,wong4,wang3
彼,pje2,bei2,bi3
彽,drij1,dai1,di1
彿,phjut4,fat1,fu2
往,hjwang2,wong5,wang3
征,tsyieng1,zing1,zheng1
徂,dzu1,cou4,cu2
待,doj2,doi6,dai4
徇,zwin3,seon1,xun4
很,hon2,han2,hen3
徉,yang1,joeng4,yang2
徊,hwoj1,wui4,huai2
律,lwit4,leot6,lü4
後,huw2,hau6,hou4
徎,drjieng2,cing2,cheng3
徐,zjo1,ceoi4,xu2
徑,keng3,ging3,jing4
徒,du1,tou4,tu2
得,tok4,dak1,de2
徘,bwoj1,pui4,pai2
徙,sje2,saai2,xi3
徛,kje3,gei3,ji4
徛,gje2,kei5,ji4
徜,dzyang1,soeng4,chang2
從,dzjowng1,cung4,cong2
從,dzjowng3,zung6,cong2
從,tshjowng1,sung1,cong2
徠,loj1,loi4,lai2
徠,loj1,loi6,lai4
御,ngjo3,jyu6,yu4
徢,sep4,sip3,xie4
徥,dzye2,si6,shi4
徨,hwang1,wong4,huang2
復,bjuw3,fuk6,fu4
復,bjuw3,fuk6,fu4
循,zwin1,ceon4,xun2
微,mjwɨj1,mei4,wei1
徯,hej1,hai4,xi1
徵,tring1,zing1,zheng1
徵,tri2,zi2,zhi3
德,tok4,dak1,de2
徹,drjet4,cit3,che4
徼,kew1,giu2,jiao4
徽,xjwɨj1,fai1,hui1
忀,sjang1,soeng1,xiang1
忂,gju1,keoi4,qu2
必,pit4,bit1,bi4
忉,taw1,dou1,dao1
忌,gi3,gei6,ji4
忍,nyin2,jan5,ren3
忒,thok4,tik1,te4
忓,kan1,gon1,gan1
忔,xjɨt4,hat1,qi4
忖,tshwon2,cyun2,cun3
志,tsyi3,zi3,zhi4
忘,mjwang3,mong4,wang4
忙,mang1,mong4,mang2
忚,xej1,hei1,xi1
忝,them2,tim2,tian3
忞,min1,man4,min2
忠,trjuwng1,zung1,zhong1
忡,trhjuwng1,cung1,chong1
忤,ngu3,ng5,wu3
忥,xjɨj3,hei3,xi4
忨,ngwan1,wun6,wan4
忪,tsyowng1,zung1,zhong1
快,khwæj3,faai3,kuai4
忬,yo3,jyu6,yu4
忭,bjen3,bin6,bian4
忮,tsye3,zi3,zhi4
忯,gje1,kei4,qi2
忱,dzyim1,sam4,chen2
忳,dwon1,tyun4,tun2
念,nem3,nim6,nian4
忶,hwon1,wan4,hun2
忸,nrjuwk4,nuk6,niu3
忻,xjɨn1,jan1,xin1
忽,xwot4,fat1,hu1
忿,phjun2,fan6,fen4
怊,trhjew1,ciu1,chao1
怋,min1,man4,min2
怌,phij1,pei1,pei1
怍,dzak4,zok6,zuo4
怏,ʔjang2,joeng2,yang4
怐,kju3,hau6,ju4
怒,nu2,nou6,nu4
怓,nræw1,naau4,nao2
怔,tsyieng1,zing1,zheng1
怕,phæ3,paa3,pa4
怖,phu3,bou3,bu4
怗,thep4,tip3,tie1
怙,hu2,wu6,hu4
怚,tsjæ1,zeoi6,ju4
怛,tat4,daat3,da2
思,si1,si1,si1
思,si3,si3,si1
怞,drjuw1,zau6,chou2
怠,doj2,toi5,dai4
怡,yi1,ji4,yi2
怤,phju1,fu1,fu1
急,kip4,gap1,ji2
怦,phɛng1,paang1,peng1
性,sjieng3,sing3,xing4
怨,ʔjwon1,jyun3,yuan4
怩,nrij1,nei4,ni2
怪,kwɛj3,gwaai3,guai4
怫,bjwɨj3,fat6,fu2
怫,bjwɨj3,fai3,fei4
怭,bit4,bit1,bi4
怮,ʔew1,jau1,you1
怯,khjæp4,hip3,qie4
怱,tshuwng1,cung1,cong1
怲,pjæng2,bing2,bing3
怵,trhwit4,seot1,chu4
恀,tsye2,ci2,shi4
恁,nyim1,jam6,ren4
恂,swin1,seon1,xun2
恃,dzyi2,ci5,shi4
恄,xit4,hat1,xi4
恅,law2,lou5,lao3
恆,hong1,hang4,heng2
恇,khjwang1,hong1,kuang1
恈,mjuw1,mau4,mou2
恉,tsyij2,zi2,zhi3
恌,thew1,tiu1,tiao1
恍,kwang1,fong2,huang3
恎,det4,dit6,die2
恐,khjowng2,hung2,kong3
恑,kjwe2,gwai2,gui3
恔,kew2,haau6,jiao3
恕,syo3,syu3,shu4
恗,xu1,fu1,hu1
恘,khjuw1,jau1,qiu1
恙,yang3,joeng6,yang4
恚,ʔjwe3,wai3,hui4
恜,trhik4,cik1,chi4
恞,yij1,ji4,yi2
恟,xjowng1,hung1,xiong1
恢,khwoj1,fui1,hui1
恣,tsij3,ci3,zi4
恤,swit4,seot1,xu4
恥,trhi2,ci2,chi3
恧,nrjuwk4,nuk1,nü4
恨,hon3,han6,hen4
恩,ʔon1,jan1,en1
恪,khak4,kok3,ke4
恫,thuwng1,dung6,dong4
恬,dem1,tim4,tian2
恭,kjowng1,gung1,gong1
息,sik4,sik1,xi1
恰,khɛp4,hap1,qia4
恲,phjæng1,paang1,peng1
恾,mang1,mong4,mang2
恿,yowng2,jung2,yong3
悀,yowng2,jung5,yong3
悃,khwon2,kwan2,kun3
悄,tshjew2,ciu2,qiao1
悅,ywet4,jyut6,yue4
悆,yo3,jyu6,yu4
悇,thu1,tou4,tu2
悈,kɛj3,gaai3,jie4
悉,sit4,sik1,xi1
悊,trjet4,zit3,zhe2
悌,dej2,dai6,ti4
悍,han3,hon6,han4
悏,khep4,hip3,qie4
悐,thek4,tik1,ti4
悑,phu3,bou3,bu4
悒,ʔip4,jap1,yi4
悔,xwoj2,fui3,hui3
悖,bwoj3,bui6,bei4
悖,bwot4,but6,bo2
悚,sjowng2,sung2,song3
悛,tshjwen1,syun1,quan1
悜,trhjieng2,cing2,cheng3
悝,khwoj1,fui1,kui1
悝,li2,lei5,li3
悟,ngu3,ng6,wu4
悠,yuw1,jau4,you1
悢,ljang3,loeng6,liang4
患,hwæn3,waan6,huan4
悰,dzowng1,cung6,cong2
悱,phjwɨj2,fei2,fei3
悲,pij1,bei1,bei1
悴,dzwij3,seoi6,cui4
悵,trhjang3,coeng3,chang4
悶,mwon3,mun6,men4
悷,lej3,lai6,li4
悸,gwij3,gwai3,ji4
悹,kwan1,gun3,guan4
悺,kwan3,gun3,guan4
悼,daw3,dou6,dao4
悽,tshej1,cai1,qi1
悾,khuwng1,hung1,kong1
悿,them2,tim2,tian3
惀,lwin1,leon4,lun3
惁,sek4,sik1,xi1
惂,khom2,ham2,kan3
惃,kwon1,gwan2,gun3
情,dzjieng1,cing4,qing2
惆,trhjuw1,cau4,chou2
惇,tsywin1,deon1,dun1
惋,ʔwan3,jyun2,wan3
惎,gi3,gei6,ji4
惑,hwok4,waak6,huo4
惔,dam1,taam4,tan2
惕,thek4,tik1,ti4
惘,mjwang2,mong5,wang3
惙,trjwet4,zyut3,chuo4
惚,xwot4,fat1,hu1
惛,xwon1,fan1,hun1
惜,sjek4,sik1,xi1
惟,ywij1,wai4,wei2
惠,hwej3,wai6,hui4
惡,ʔak4,ok3,e4
惡,ʔu3,wu3,wu4
惡,ʔu1,wu1,wu1
惢,tsje1,so2,suo3
惰,dwa2,do6,duo4
惱,naw2,nou5,nao3
惲,ʔjun2,wan6,yun4
想,sjang2,soeng2,xiang3
惴,tsywe3,zeoi3,zhui4
惵,dep4,dip6,die2
惶,hwang1,wong4,huang2
惸,gjwieng1,king4,qiong2
惹,nyæ2,je5,re3
惺,seng1,sing1,xing1
惻,tshrik4,cak1,ce4
惼,pen2,bin2,bian3
愀,tshjew2,ciu2,qiao3
愁,dzrjuw1,sau4,chou2
愃,sjwen1,syun1,xuan1
愆,khjen1,hin1,qian1
愇,hjwɨj2,wai5,wei3
愈,yu2,jyu6,yu4
愉,yu1,jyu4,yu2
愊,phik4,bik1,bi4
愋,xjwon1,hyun1,xuan1
愍,min2,man5,min3
愎,bik4,bik1,bi4
意,ʔi3,ji3,yi4
愐,mjen2,min5,mian3
愒,khjej3,hot3,qi4
愓,dang2,dong6,dang4
愔,ʔim1,jam1,yin1
愕,ngak4,ngok6,e4
愖,dzyim1,sam4,chen2
愗,muw3,mau6,mao4
愙,khak4,kok3,ke4
愚,ngju1,jyu4,yu2
愜,khep4,hip3,qie4
愞,nywen2,no6,nuo4
感,kom2,gam2,gan3
愡,tshuwng3,zung2,zong3
愢,soj1,soi1,sai1
愧,kwij3,kwai3,kui4
愨,khæwk4,kok3,que4
愩,kuwng1,gung1,gong1
愪,hjun1,wan4,yun2
愬,su3,saak3,se4
愭,gij1,kei4,qi2
愮,yew1,jiu4,yao2
愯,sjowng2,sung2,song3
愱,dzit4,zat6,ji2
愲,kwot4,gwat1,gu3
愴,tshrjang3,cong3,chuang4
愴,tshrjang2,cong2,chuang3
愵,nek4,nik6,ni4
愶,xjæp4,hip3,xie2
愷,khoj2,hoi2,kai3
愺,tshaw2,cou2,cao3
愻,swon3,seon3,xun4
愾,khoj3,koi3,kai4
愾,xjɨj3,hei3,xi4
愿,ngjwon3,jyun6,yuan4
慀,hej3,hai6,xi4
慁,hwon3,wan6,hun4
慃,ʔæwng2,ong2,yang3
慄,lit4,leot6,li4
慅,saw1,cou2,sao1
慆,thaw1,tou1,tao1
慈,dzi1,ci4,ci2
慉,xjuwk4,cuk1,xu4
慊,khem2,him3,qian4
態,thoj3,taai3,tai4
慌,xwang2,fong2,huang3
慍,ʔjun3,wan3,yun4
慎,dzyin3,san6,shen4
惷,tshywin2,ceon2,chun3
慏,mjieng2,ming5,ming3
慒,dzowng1,cung4,cong2
慓,phjew1,piu5,piao4
慔,mu3,mou6,mu4
慕,mu3,mou6,mu4
慖,kwoj3,gwok3,guo2
慗,trhik4,cik1,chi4
慘,tshom2,caam2,can3
慚,dzam1,caam4,can2
慛,dzwoj1,ceoi4,cui2
慜,min2,man5,min3
慝,thok4,tik1,te4
慞,tsyang1,zoeng1,zhang1
慟,duwng3,dung6,tong4
慢,mæn3,maan6,man4
慣,kwæn3,gwaan3,guan4
慥,tshaw3,zou6,zao4
慧,hwej3,wai6,hui4
慨,khoj3,koi2,kai3
慫,sjowng2,sung2,song3
慬,gjɨn1,kan4,qin2
慮,ljo3,leoi6,lü4
慯,syang1,soeng1,shang1
慰,ʔjwɨj3,wai3,wei4
慱,dwan1,tyun4,tuan2
慲,mwan1,mun4,man2
慳,khɛn1,haan1,qian1
慴,tsyep4,zip3,zhe2
慵,dzyowng1,jung4,yong1
慶,khjæng3,hing3,qing4
慷,khang2,hong2,kang1
慸,dej3,dai3,di4
慹,tsyip4,zap1,zhi2
慺,lju1,lau4,lou2
慾,yowk4,juk6,yu4
憂,ʔjuw1,jau1,you1
憃,syowng1,zung1,chong1
憊,bɛj3,baai6,bei4
憋,pjet4,bit3,bie1
憌,gjwieng1,king4,qiong2
憍,kjew1,giu1,jiao1
憎,tsong1,zang1,zeng1
憐,len1,lin4,lian2
憑,bing1,pang4,ping2
憒,kwoj3,kui2,kui4
憓,hwej3,wai6,hui4
憔,dzjew1,ciu4,qiao2
憗,ngin3,jan6,yin4
憙,xi2,hei2,xi3
憚,dan3,daan6,dan4
憛,thom3,taam4,tan2
憝,dwoj3,deoi6,dui4
憢,xew1,hiu1,xiao1
憤,bjun2,fan5,fen4
憧,tshyowng1,cung1,chong1
憨,xam1,ham1,han1
憩,khjej3,hei3,qi4
憫,min2,man5,min3
憬,kjwæng2,ging2,jing3
憭,lew1,liu5,liao3
憮,mju1,mou5,wu3
憯,tshom2,caam2,can3
憲,xjon3,hin3,xian4
憴,zying1,sing4,sheng2
憵,phek4,bik1,pi1
憶,ʔik4,jik1,yi4
憷,tshrjo2,co2,chu3
憸,sjem1,cim1,xian1
憹,nowng1,nou4,nao2
憺,dam2,daam6,dan4
憼,kjang2,ging2,jing3
憾,hom3,ham6,han4
憿,kew1,giu1,jiao3
懀,ʔwaj3,wai3,wei4
懂,tuwng2,dung2,dong3
懃,gjɨn1,kan4,qin2
懄,gjɨn1,kan4,qin2
懅,gjo1,geoi6,ju4
懆,tshaw2,cou3,cao3
懇,khon2,han2,ken3
懈,kɛɨ3,haai6,xie4
應,ʔing1,jing1,ying1
應,ʔing3,jing3,ying4
懊,ʔaw2,ou3,ao4
懊,ʔaw3,ou3,ao4
懋,muw3,mau6,mao4
懌,yek4,jik6,yi4
懍,lim2,lam5,lin3
懖,kwat4,kut3,kuo4
懘,tshye2,cit3,chi4
懚,ʔjɨn3,jan3,yin4
懛,toj1,daai1,dai1
懜,mjuwng1,mung1,meng3
懟,drwij3,deoi6,dui4
懠,dzej1,cai4,qi2
懢,lam1,laam4,lan2
懣,mwon2,mun5,men4
懤,drjuw1,cau4,chou2
懥,tsyij3,zi3,zhi4
懦,nyu1,no6,nuo4
懫,trij3,zi3,zhi4
懬,khang2,kwong3,kuang4
懮,ʔjuw2,jau1,you3
懰,ljuw1,lau4,liu2
懲,dring1,cing4,cheng2
懵,muwng2,mung5,meng3
懶,lan2,laan5,lan3
懷,hwɛj1,waai4,huai2
懸,hwen1,jyun4,xuan2
懹,nyang3,joeng6,rang4
懺,tshræm3,caam3,chan4
懼,gju3,geoi6,ju4
懾,tsyep4,zip3,she4
懿,ʔij3,ji3,yi4
戀,ljwen3,lyun2,lian4
戁,nræn2,naan5,nan3
戇,xuwng3,zong3,zhuang4
戈,kwa1,gwo1,ge1
戉,hjwot4,jyut6,yue4
戊,muw3,mou6,wu4
戌,swit4,seot1,xu1
戍,syu3,syu3,shu4
戎,nyuwng1,jung4,rong2
成,dzyieng1,sing4,cheng2
我,nga2,ngo5,wo3
戒,kɛj3,gaai3,jie4
戔,dzan1,zin1,jian1
戕,ka1,coeng4,qiang1
或,hwok4,waak6,huo4
戚,tshek4,cik1,qi1
戛,kɛt4,aat3,jia2
戜,det4,dit6,die2
戟,kjæk4,gik1,ji3
戠,tsyik4,zik1,zhi1
戡,khom1,ham1,kan1
戢,tsrip4,cap1,ji2
戣,gwij1,kwai4,kui2
戤,goj3,koi3,gai4
戩,tsjen2,zin2,jian3
戮,ljuwk4,luk6,lu4
戰,tsyen3,zin3,zhan4
