Character,Middle Chinese,Cantonese,Mandarin
乂,ngjoj3,ngaai6,yi4
乃,noj2,naai5,nai3
久,kjuw2,gau2,jiu3
之,tsyi1,zi1,zhi1
乍,dzræ3,zaa3,zha4
乎,hu1,fu4,hu1
乏,bjop4,fat6,fa2
乑,ngim1,jam4,yin2
乖,kwɛj1,gwaai1,guai1
乘,zying1,sing4,cheng2
乘,zying3,sing6,sheng4
乜,mjæ2,ne6,nie4
乞,khjɨt4,hat1,qi3
乞,khjɨj3,hei3,qi4
也,yæ2,jaa5,ye3
乳,nyu2,jyu5,ru3
乾,kan1,gon1,gan1
乾,gjen1,kin4,qian2
亂,lwan3,lyun6,luan4
亄,ʔij3,ji3,yi4
了,lew2,liu5,liao3
予,yo1,jyu5,yu3
予,yo1,jyu4,yu2
事,dzri3,si6,shi4
亍,trju3,cuk1,chu4
于,hju1,jyu4,yu2
云,hjun1,wan4,yun2
互,hu3,wu6,hu4
井,tsjieng2,zeng2,jing3
亙,kong3,gang2,gen4
些,sjæ1,se1,xie1
些,sa3,so3,suo4
亞,ʔæ3,aa3,ya4
亟,kik4,gik1,ji2
亟,khi3,kei3,qi4
亡,mjwang1,mong4,wang2
亢,khang3,kong3,kang4
亢,kang1,gong1,gang1
交,kæw1,gaau1,jiao1
亥,hoj2,hoi6,hai4
亦,yek4,jik6,yi4
亨,xæng1,hang1,heng1
亨,phjæng1,paang1,peng1
京,kjæng1,ging1,jing1
亭,deng1,ting4,ting2
亮,ljang3,loeng6,liang4
亳,bwak4,bok3,bo2
亶,tan2,taan2,dan3
亹,mjwɨj2,mei5,wei3
亹,mwon1,mun4,men2
什,dzyip4,sap6,shi2
仁,nyin1,jan4,ren2
仂,lok4,lak6,le4
仂,lik4,lik6,li4
仃,teng1,ding1,ding1
仄,tsrik4,zak1,ze4
仆,phju3,fu6,pu1
仇,gjuw1,sau4,chou2
仇,gjuw1,kau4,qiu2
仉,tsyang2,zoeng2,zhang3
介,kɛj3,gaai3,jie4
仍,nying1,jing4,reng2
仔,tsi1,zi2,zi3
仔,tsi1,zi1,zi1
仕,dzri2,si6,shi4
他,tha1,taa1,ta1
仗,drjang2,zoeng6,zhang4
付,pju3,fu6,fu4
仙,sjen1,sin1,xian1
仛,dak4,tok3,duo2
仜,huwng1,hung4,hong2
仝,duwng1,tung4,tong2
仞,nyin3,jan6,ren4
仟,tshen1,cin1,qian1
仠,kan2,gon2,gan3
仡,xjɨt4,ngat6,yi4
仢,dzyak4,bok6,bo2
代,doj3,doi6,dai4
令,ljieng1,ling6,ling4
令,leng1,ling4,ling2
以,yi2,ji5,yi3
仯,tshræw3,caau3,chao4
仰,ngjang2,joeng5,yang3
仲,drjuwng3,zung6,zhong4
仳,phje2,pei2,pi3
仳,bij1,pei4,pi2
仵,ngu2,ng5,wu3
件,gjen2,gin6,jian4
价,kɛj3,gaai3,jie4
仸,ʔjew2,jiu2,yao3
仹,phjowng1,fung1,feng1
任,nyim3,jam6,ren4
