Middle Chinese,Predicted Tone Mandarin
1,"{'3', '4', '2', '1'}"
2,"{'3', '4', '2', '1'}"
3,"{'4', '2', '1'}"
4,"{'4', '2', '1'}"
5,"{'3', '4', '2'}"
6,"{'3', '4', '2', '1'}"
∅,set()
